type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.39633,9.67186,50,0,5.451,20.34,,
T,52.3964,9.67167,50,0,5.466,15.1,,
T,52.39645,9.67155,50,0,5.476,9.88,,
T,52.39651,9.67136,50,0,5.49,14.55,,
T,52.39657,9.67119,50,0,5.504,13.36,,
T,52.39666,9.67092,50,0,5.525,20.93,,
T,52.39672,9.67071,50,0,5.541,15.78,,
T,52.39679,9.67049,50,0,5.557,16.88,,
T,52.39688,9.6702,50,0,5.58,22.14,,
T,52.39698,9.6699,50,0,5.603,23.26,,
T,52.39703,9.66973,50,0,5.616,12.84,,
T,52.39708,9.66958,50,0,5.627,11.63,,
T,52.39715,9.66937,50,0,5.644,16.28,,
T,52.39718,9.66928,50,0,5.651,6.98,,
T,52.39727,9.66904,50,0,5.67,19.16,,
T,52.39732,9.6689,50,0,5.681,11.03,,
T,52.39738,9.66874,50,0,5.693,12.77,,
T,52.39749,9.66846,50,0,5.716,22.65,,
T,52.3976,9.66819,50,0,5.738,22.08,,
T,52.39766,9.66802,50,0,5.752,13.36,,
T,52.39778,9.66776,50,0,5.774,22.17,,
T,52.39783,9.66764,50,0,5.784,9.88,,
T,52.39784,9.66762,50,0,5.785,1.76,,
T,52.39791,9.66747,50,0,5.798,12.84,,
T,52.39802,9.66723,50,0,5.819,20.41,,
T,52.39816,9.66695,50,0,5.843,24.62,,
T,52.39823,9.66681,50,0,5.856,12.31,,
T,52.3983,9.66667,50,0,5.868,12.31,,
T,52.39838,9.6665,50,0,5.882,14.6,,
T,52.39844,9.66641,50,0,5.892,9.06,,
T,52.3985,9.66629,50,0,5.902,10.55,,
T,52.39855,9.66621,50,0,5.91,7.79,,
T,52.39862,9.66607,50,0,5.922,12.31,,
T,52.39871,9.66592,50,0,5.936,14.3,,
T,52.39876,9.66582,50,0,5.945,8.79,,
T,52.39877,9.66582,50,0,5.946,1.11,,
T,52.39883,9.66571,50,0,5.956,10.03,,
T,52.39899,9.66546,50,0,5.981,24.63,,
T,52.39907,9.66534,50,0,5.993,12.08,,
T,52.39914,9.66522,50,0,6.004,11.29,,
T,52.39922,9.66511,50,0,6.016,11.63,,
T,52.39931,9.66498,50,0,6.029,13.36,,
T,52.39932,9.66496,50,0,6.031,1.76,,
T,52.39937,9.66489,50,0,6.038,7.33,,
T,52.39944,9.66479,50,0,6.049,10.34,,
T,52.3995,9.6647,50,0,6.058,9.06,,
T,52.3996,9.66456,50,0,6.073,14.65,,
T,52.39969,9.66444,50,0,6.085,12.92,,
T,52.39991,9.66413,50,0,6.118,32.32,,
T,52.39997,9.66405,50,0,6.126,8.62,,
T,52.40003,9.66397,50,0,6.135,8.62,,
T,52.40008,9.6639,50,0,6.142,7.33,,
T,52.40018,9.66378,50,0,6.156,13.8,,
T,52.40056,9.6633,50,0,6.21,53.44,,
T,52.40089,9.66289,50,0,6.256,46.12,,
T,52.40114,9.66259,50,0,6.29,34.51,,
T,52.4014,9.6623,50,0,6.325,35.02,,
T,52.40163,9.66203,50,0,6.357,31.51,,
T,52.40198,9.66166,50,0,6.403,46.38,,
T,52.40204,9.6616,50,0,6.411,7.83,,
T,52.40216,9.66147,50,0,6.427,16.02,,
T,52.40241,9.66119,50,0,6.461,33.72,,
T,52.4026,9.66099,50,0,6.486,25.15,,
T,52.40261,9.66097,50,0,6.488,1.76,,
T,52.40297,9.66058,50,0,6.536,48.05,,
T,52.40317,9.66037,50,0,6.562,26.45,,
T,52.40345,9.66005,50,0,6.6,38.01,,
T,52.40356,9.65993,50,0,6.615,14.71,,
T,52.40364,9.65985,50,0,6.625,10.44,,
T,52.40368,9.65979,50,0,6.631,6.04,,
T,52.40379,9.65967,50,0,6.646,14.71,,
T,52.40397,9.65946,50,0,6.671,24.61,,
T,52.40402,9.65941,50,0,6.677,6.52,,
T,52.40405,9.65937,50,0,6.681,4.31,,
T,52.40414,9.65927,50,0,6.694,12.11,,
T,52.40421,9.65918,50,0,6.703,9.91,,
T,52.40429,9.65909,50,0,6.714,10.81,,
T,52.40434,9.65903,50,0,6.721,6.9,,
T,52.40439,9.65896,50,0,6.728,7.32,,
T,52.40448,9.65886,50,0,6.741,12.11,,
T,52.40455,9.65877,50,0,6.751,9.91,,
T,52.40461,9.65869,50,0,6.759,8.62,,
T,52.40469,9.6586,50,0,6.77,10.81,,
T,52.40485,9.6584,50,0,6.792,22.41,,
T,52.40496,9.65826,50,0,6.808,15.51,,
T,52.40504,9.65815,50,0,6.819,11.63,,
