type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.44913,5.43033,20.6,301,4.216,12.97,,
T,51.44917,5.43019,21,294.6,4.227,10.7,,
T,51.44928,5.42987,20.5,298.9,4.252,25.39,,
T,51.44938,5.42958,20.4,299,4.275,23.03,,
T,51.44948,5.42928,21.3,298.1,4.299,23.64,,
T,51.44958,5.42897,21.3,297.4,4.323,24.25,,
T,51.44963,5.42882,21,298.1,4.335,11.82,,
T,51.44969,5.42866,21,301,4.348,12.97,,
T,51.44979,5.42835,20.5,297.4,4.372,24.25,,
T,51.44988,5.42804,21.2,295,4.396,23.76,,
T,51.45002,5.42756,20.7,295.1,4.433,36.82,,
T,51.45011,5.42727,19.4,296.5,4.455,22.51,,
T,51.45022,5.42694,19.6,298.1,4.481,26,,
T,51.45033,5.42665,19.8,301.3,4.505,23.58,,
T,51.45044,5.42636,19.1,301.3,4.528,23.58,,
T,51.45055,5.42607,20,301.3,4.552,23.58,,
T,51.45068,5.42579,19.5,306.7,4.576,24.25,,
T,51.45075,5.42563,19.1,305.1,4.59,13.58,,
T,51.45087,5.42539,19.5,308.7,4.611,21.37,,
T,51.45094,5.42524,19.5,306.8,4.624,13.01,,
T,51.45105,5.42503,19,310,4.643,19.05,,
T,51.45109,5.42495,19,308.7,4.65,7.12,,
T,51.45123,5.42469,19.1,310.8,4.674,23.86,,
T,51.45145,5.4243,19.4,312.2,4.711,36.53,,
T,51.45156,5.42409,19.3,310,4.73,19.05,,
T,51.45163,5.42387,19.9,297,4.747,17.16,,
T,51.45163,5.42387,19.9,297,4.747,0,,
T,51.45174,5.42364,19.1,307.5,4.767,20.13,,
T,51.45183,5.42345,19.6,307.2,4.784,16.57,,
T,51.4519,5.42331,19.9,308.7,4.796,12.46,,
T,51.45196,5.42316,19.4,302.7,4.808,12.38,,
T,51.45202,5.42302,19,304.5,4.82,11.8,,
T,51.45208,5.42287,19,302.7,4.833,12.38,,
T,51.45214,5.42272,19.2,302.7,4.845,12.38,,
T,51.45225,5.42243,19.7,301.3,4.869,23.58,,
T,51.4523,5.42228,19.1,298.1,4.88,11.82,,
T,51.4524,5.42198,19,298.1,4.904,23.64,,
T,51.45249,5.42169,19,296.5,4.927,22.51,,
T,51.45255,5.42152,19,299.5,4.94,13.57,,
T,51.4526,5.42136,19,296.6,4.953,12.44,,
T,51.45268,5.42108,19,294.6,4.974,21.4,,
T,51.45278,5.42077,19,297.4,4.998,24.25,,
T,51.45287,5.42053,19,301,5.018,19.46,,
T,51.45292,5.42038,19,298.1,5.03,11.82,,
T,51.45301,5.42012,19,299.1,5.05,20.66,,
T,51.45308,5.41992,19,299.3,5.066,15.94,,
T,51.4531,5.41986,18.9,298.1,5.071,4.73,,
T,51.4532,5.41961,18.7,302.7,5.091,20.63,,
T,51.45332,5.4193,19,301.8,5.117,25.35,,
T,51.45344,5.419,19,302.7,5.142,24.76,,
T,51.4535,5.41884,19,301,5.155,12.97,,
T,51.45361,5.41859,19,305.2,5.176,21.25,,
T,51.45371,5.41833,19,301.7,5.197,21.22,,
T,51.45372,5.41831,19,308.7,5.199,1.78,,
T,51.45379,5.41815,19,305.1,5.212,13.58,,
T,51.45384,5.41804,19,306.1,5.222,9.46,,
T,51.45428,5.4171,19,306.9,5.303,81.64,,
T,51.45455,5.41655,19,308.2,5.352,48.62,,
T,51.45462,5.41639,19,305.1,5.366,13.58,,
T,51.45481,5.41603,19,310.3,5.398,32.76,,
T,51.4551,5.4155,19,311.3,5.447,48.97,,
T,51.4551,5.41549,19,270,5.448,0.7,,
T,51.45534,5.41509,19,313.9,5.487,38.55,,
T,51.45567,5.41454,19,313.9,5.54,53,,
T,51.45587,5.41421,19,314.2,5.572,31.96,,
T,51.45611,5.41384,19,316.2,5.609,37.07,,
T,51.45635,5.41349,19,317.7,5.645,36.12,,
T,51.45657,5.41318,19,318.7,5.677,32.61,,
T,51.4568,5.41286,19,319.1,5.711,33.9,,
T,51.45693,5.41268,19,319.2,5.73,19.12,,
T,51.45706,5.41252,19,322.5,5.749,18.24,,
T,51.45715,5.41241,19,322.7,5.761,12.6,,
T,51.45726,5.41226,19.1,319.6,5.777,16.08,,
T,51.45743,5.41204,19,321.1,5.802,24.32,,
