type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,45.09582,7.62703,261,3.1,5.874,62.74,,
T,45.09596,7.62665,262.3,4.1,5.908,33.72,,
T,45.096,7.62656,262.5,1.8,5.916,8.36,,
T,45.09623,7.62594,263.3,1.5,5.971,55.09,,
T,45.09726,7.62343,262.2,-0.5,6.2,228.34,,
T,45.09735,7.62321,259,-15.8,6.22,20,,
T,45.09741,7.62305,257.4,-11.2,6.234,14.25,,
T,45.09744,7.62298,258.4,16.1,6.24,6.44,,
T,45.09748,7.62288,260.5,23.3,6.249,9.04,,
T,45.09757,7.62266,264,17.2,6.269,20,,
T,45.09764,7.62248,265,6.2,6.286,16.16,,
T,45.0977,7.62234,265,0,6.298,12.88,,
T,45.09831,7.62071,266.1,0.7,6.444,145.11,,
T,45.09884,7.61944,267,0.8,6.56,116.03,,
T,45.09926,7.61838,268.4,1.5,6.655,95.6,,
T,45.09943,7.61799,268,-1.1,6.691,36.05,,
T,45.09952,7.61774,269.6,7.2,6.713,22.07,,
T,45.09965,7.61738,271.2,5,6.745,31.81,,
T,45.0998,7.61695,270.3,-2.3,6.783,37.73,,
T,45.0998,7.61694,270.3,5.1,6.784,0.79,,
T,45.09996,7.61654,269.9,-1.1,6.82,36.16,,
T,45.10006,7.6163,269.3,-3.2,6.842,21.92,,
T,45.10023,7.61597,269.7,1.3,6.874,32.12,,
T,45.10037,7.61573,269.8,0.5,6.898,24.47,,
T,45.10048,7.61556,270,1.1,6.916,18.12,,
T,45.10054,7.61546,270,0.3,6.927,10.32,,
T,45.10067,7.61529,269.6,-2.2,6.946,19.69,,
T,45.10075,7.61518,269.7,0.5,6.959,12.41,,
T,45.10088,7.615,270,1.7,6.979,20.23,,
T,45.10102,7.61484,270.2,0.9,6.999,20.02,,
T,45.10127,7.61458,270.5,0.9,7.034,34.51,,
T,45.10149,7.61435,270.8,0.8,7.064,30.42,,
T,45.10169,7.61414,271,0.9,7.092,27.7,,
T,45.1024,7.61346,271.7,0.7,7.187,95.34,,
T,45.10293,7.61293,271.7,0,7.259,72.18,,
T,45.1034,7.61243,272.1,0.6,7.325,65.4,,
T,45.10356,7.61225,272.7,3,7.347,22.73,,
T,45.10367,7.61211,272.6,-1.1,7.364,16.46,,
T,45.10376,7.61197,272.5,-0.2,7.379,14.88,,
T,45.1038,7.61192,272.7,2.5,7.385,5.94,,
T,45.10388,7.61178,273,2,7.399,14.16,,
T,45.10397,7.61158,272.8,-0.9,7.417,18.65,,
T,45.10401,7.6115,272.8,0.4,7.425,7.71,,
T,45.10406,7.61136,273.1,1.9,7.438,12.34,,
T,45.10412,7.61118,273.6,3.6,7.453,15.66,,
T,45.10418,7.61094,273.9,1.4,7.473,20.03,,
T,45.10421,7.6108,273.7,-1.9,7.485,11.51,,
T,45.10424,7.61061,273.5,-1.4,7.5,15.32,,
T,45.10428,7.61028,270.8,-10,7.526,26.35,,
T,45.10429,7.60996,273.7,11.4,7.552,25.21,,
T,45.10431,7.60963,274.7,3.7,7.578,26.07,,
T,45.10432,7.60936,275.1,2.3,7.599,21.28,,
T,45.10433,7.60888,275.4,0.7,7.637,37.79,,
T,45.10433,7.60878,275.4,0,7.645,7.87,,
T,45.10435,7.60798,275.5,0.2,7.708,63,,
T,45.10435,7.60786,275.8,3,7.717,9.44,,
T,45.10436,7.60761,276,1,7.737,19.71,,
T,45.10436,7.60761,276,,7.737,0,,
T,45.10437,7.60749,276,0,7.746,9.51,,
T,45.10438,7.60731,276,0,7.761,14.21,,
T,45.10439,7.60723,276,0,7.767,6.39,,
T,45.10443,7.60687,276,0,7.796,28.68,,
T,45.10448,7.60655,276,0,7.821,25.79,,
T,45.10452,7.6063,276,0,7.842,20.17,,
T,45.10461,7.60584,276,0,7.879,37.56,,
T,45.10466,7.60556,276,0,7.902,22.73,,
T,45.10468,7.60548,276,0,7.909,6.68,,
T,45.1047,7.60525,276,0,7.927,18.24,,
T,45.10475,7.60451,276.1,0.2,7.985,58.5,,
T,45.10475,7.60449,276.1,0,7.987,1.57,,
T,45.10477,7.60428,276.2,0.4,8.003,16.68,,
T,45.10479,7.60413,276.2,0.1,8.016,12.01,,
T,45.10481,7.60399,275.9,-2.4,8.027,11.24,,
T,45.10486,7.60375,275.5,-2.1,8.046,19.69,,
T,45.10492,7.60353,275.3,-1.2,8.065,18.55,,
T,45.10504,7.60314,274.5,-2.2,8.098,33.47,,
T,45.10527,7.60233,275.8,1.8,8.167,68.68,,
T,45.1053,7.60224,275.4,-4.2,8.175,7.83,,
T,45.10538,7.60197,277,6.5,8.198,23.03,,
T,45.10538,7.60196,277,2.4,8.199,0.79,,
T,45.10545,7.60172,276.1,-4.2,8.219,20.43,,
T,45.10548,7.60162,275.3,-9.7,8.228,8.55,,
T,45.10552,7.60149,274.2,-10,8.239,11.16,,
T,45.10564,7.60106,274.9,1.9,8.275,36.37,,
T,45.10575,7.60065,275.2,1,8.31,34.51,,
T,45.10583,7.60033,276,2.8,8.337,26.71,,
T,45.10586,7.60014,276.9,6.1,8.352,15.32,,
T,45.1059,7.59998,277.8,6.7,8.365,13.35,,
T,45.10591,7.59981,278.3,4.1,8.379,13.43,,
T,45.10592,7.59967,278.6,2.2,8.39,11.07,,
T,45.10593,7.59955,278.5,-0.9,8.399,9.51,,
T,45.10593,7.59948,278.4,-1.6,8.405,5.51,,
T,45.10593,7.59947,278.4,-1.7,8.405,0.79,,
T,45.10593,7.5994,278.3,-0.6,8.411,5.51,,
T,45.10593,7.59934,278.3,0,8.416,4.72,,
T,45.10592,7.59924,278.3,-0.5,8.424,7.95,,
T,45.10591,7.59914,278.1,-2.2,8.432,7.95,,
T,45.10591,7.59909,277.9,-6.6,8.436,3.94,,
T,45.1059,7.59901,277.4,-7.7,8.442,6.39,,
T,45.10589,7.59892,276.8,-8.3,8.449,7.17,,
T,45.10587,7.59883,276.2,-7.4,8.457,7.42,,
T,45.10585,7.59873,275.7,-6.9,8.465,8.18,,
T,45.10582,7.59862,275.2,-4.9,8.474,9.28,,
T,45.10579,7.59852,276.5,14.4,8.483,8.55,,
T,45.10575,7.59839,277.9,12.7,8.494,11.16,,
T,45.10571,7.59828,278.7,8.1,8.503,9.73,,
T,45.1057,7.59824,278.8,5.1,8.507,3.34,,
T,45.10566,7.59814,279.1,3.5,8.516,9.04,,
T,45.10562,7.59807,279.2,0.9,8.523,7.08,,
T,45.1056,7.59804,279.2,0.5,8.526,3.24,,
T,45.10547,7.5978,279.9,3,8.55,23.78,,
T,45.10539,7.5977,280.1,1.4,8.562,11.87,,
T,45.10534,7.59762,280.1,0.2,8.57,8.4,,
T,45.10526,7.59752,280,-1.1,8.582,11.87,,
T,45.1052,7.59745,280.2,2.1,8.591,8.65,,
T,45.10507,7.5973,280.7,2.9,8.609,18.66,,
T,45.10481,7.59704,280.6,-0.5,8.645,35.41,,
T,45.1044,7.59664,280.8,0.4,8.7,55.38,,
T,45.10432,7.59657,280.7,-1.1,8.711,10.46,,
T,45.10422,7.59645,281.3,4.3,8.725,14.58,,
T,45.10413,7.59634,281.7,3,8.738,13.23,,
T,45.10403,7.5962,281.3,-2.5,8.754,15.65,,
T,45.10396,7.59607,281.5,1.4,8.767,12.85,,
T,45.10389,7.59593,282,3.7,8.78,13.49,,
T,45.1038,7.59571,281.1,-4.7,8.8,20,,
T,45.10378,7.59567,281,-1.6,8.804,3.85,,
T,45.10371,7.59551,281.7,4.7,8.819,14.8,,
T,45.10364,7.59531,282.8,6.1,8.837,17.56,,
T,45.10351,7.59487,282.9,0.3,8.874,37.52,,
T,45.10338,7.59441,283.7,2,8.913,38.98,,
T,45.10333,7.59424,284,2.3,8.928,14.49,,
T,45.10303,7.59316,285,1.1,9.019,91.31,,
T,45.10301,7.59306,285,0,9.027,8.18,,
T,45.10279,7.59231,285,0,9.091,63.89,,
T,45.10277,7.59224,285,0,9.097,5.94,,
T,45.10276,7.59219,285,0,9.101,4.09,,
T,45.10264,7.59176,285,0,9.137,36.38,,
T,45.10247,7.59139,285,0,9.172,34.71,,
T,45.10247,7.59139,285,,9.172,0,,
T,45.10237,7.59105,284.8,-0.8,9.201,28.98,,
T,45.10235,7.59097,284.5,-3.5,9.208,6.68,,
T,45.10228,7.59074,284.6,0.3,9.227,19.7,,
T,45.10219,7.59041,284.9,1.3,9.255,27.83,,
T,45.10213,7.59018,284.8,-0.9,9.275,19.29,,
T,45.10205,7.5899,284.5,-1.2,9.298,23.76,,
T,45.10189,7.58935,284.7,0.5,9.345,46.8,,
T,45.10158,7.58822,285,0.3,9.441,95.38,,
T,45.10132,7.58728,285.4,0.5,9.52,79.43,,
T,45.10115,7.58663,285.9,0.8,9.574,54.54,,
T,45.10104,7.58626,286.1,0.8,9.606,31.58,,
T,45.10102,7.58618,286.2,1.9,9.613,6.68,,
T,45.10086,7.5856,286.8,1.2,9.662,48.99,,
T,45.10049,7.58428,288,1.1,9.773,111.74,,
T,45.10034,7.58372,288.2,0.5,9.821,47.12,,
T,45.10011,7.58292,289.2,1.4,9.889,67.96,,
T,45.1,7.58251,290,2.3,9.923,34.51,,
T,45.09998,7.58242,289.9,-0.7,9.93,7.42,,
T,45.09952,7.58076,291.5,1.1,10.071,140.3,,
T,45.09938,7.58025,291.9,1.1,10.114,43.05,,
T,45.09921,7.57962,292.6,1.3,10.167,53.06,,
T,45.09906,7.5791,292.5,-0.3,10.211,44.19,,
T,45.09895,7.57867,293.4,2.5,10.247,35.99,,
T,45.09885,7.57833,294,2.1,10.276,28.98,,
T,45.09869,7.57778,291.7,-4.8,10.323,46.8,,
T,45.09864,7.5776,290.6,-7.3,10.338,15.22,,
T,45.09858,7.57742,291.7,7,10.354,15.66,,
T,45.09845,7.57701,295.3,10,10.389,35.36,,
T,45.09835,7.57674,295.9,2.6,10.413,23.98,,
T,45.09821,7.57636,296.5,2,10.447,33.72,,
T,45.09817,7.57625,296.5,-0.5,10.457,9.73,,
T,45.09812,7.57612,296.8,2.2,10.468,11.64,,
