type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.169100000,16.536980000,244.4,0.9,6.925,39.92,,
T,49.169210000,16.536300000,245.7,2.4,6.976,51.07,,
T,49.169250000,16.535960000,245.4,-1.1,7.001,25.19,,
T,49.169340000,16.535390000,245.1,-0.6,7.044,42.75,,
T,49.169340000,16.535380000,245.1,3.0,7.045,0.73,,
T,49.169440000,16.534660000,246.3,2.1,7.098,53.67,,
T,49.169580000,16.533620000,247.5,1.6,7.176,77.42,,
T,49.169730000,16.532470000,251.1,4.2,7.261,85.50,,
T,49.169760000,16.532200000,251.7,3.4,7.281,19.97,,
T,49.169860000,16.531440000,254.3,4.6,7.338,56.53,,
T,49.169920000,16.530940000,254.9,1.6,7.375,37.07,,
T,49.170010000,16.530230000,257.1,4.2,7.428,52.73,,
T,49.170100000,16.529510000,259.2,3.9,7.481,53.45,,
T,49.170160000,16.529050000,260.2,2.8,7.515,34.20,,
T,49.170240000,16.528430000,259.6,-1.2,7.561,46.08,,
T,49.170290000,16.528030000,259.1,-1.6,7.591,29.69,,
T,49.170380000,16.527270000,267.1,14.1,7.647,56.32,,
T,49.170440000,16.526840000,269.0,5.9,7.679,32.06,,
T,49.170540000,16.526060000,266.9,-3.7,7.737,57.96,,
T,49.170590000,16.525620000,265.3,-4.7,7.770,32.56,,
T,49.170680000,16.524910000,266.9,2.9,7.823,52.73,,
T,49.170790000,16.524060000,271.3,6.9,7.886,63.18,,
T,49.170860000,16.523540000,271.7,1.1,7.924,38.71,,
T,49.170860000,16.523520000,271.6,-4.5,7.926,1.46,,
T,49.170940000,16.522930000,270.5,-2.5,7.970,43.93,,
T,49.170970000,16.522660000,270.7,1.0,7.990,19.97,,
T,49.171030000,16.522220000,272.0,4.0,8.023,32.77,,
T,49.171090000,16.521740000,274.8,7.8,8.058,35.63,,
T,49.171170000,16.521250000,277.0,6.0,8.095,36.82,,
T,49.171250000,16.520790000,277.5,1.4,8.130,34.70,,
T,49.171350000,16.520230000,277.2,-0.8,8.172,42.32,,
T,49.171440000,16.519790000,278.9,5.1,8.206,33.61,,
T,49.171550000,16.519270000,279.7,2.1,8.246,39.84,,
T,49.171720000,16.518610000,279.4,-0.7,8.297,51.71,,
T,49.171790000,16.518320000,280.4,4.7,8.320,22.53,,
T,49.171850000,16.518140000,280.7,1.5,8.335,14.72,,
T,49.171940000,16.517800000,281.0,1.2,8.361,26.74,,
T,49.172020000,16.517540000,281.9,4.3,8.382,20.94,,
T,49.172130000,16.517140000,282.7,2.4,8.414,31.63,,
T,49.172420000,16.516310000,283.1,0.7,8.482,68.58,,
T,49.172610000,16.515760000,285.0,4.1,8.528,45.33,,
T,49.172770000,16.515340000,283.5,-4.3,8.563,35.42,,
T,49.173010000,16.514680000,283.4,-0.2,8.618,55.03,,
T,49.173220000,16.514160000,283.6,0.5,8.663,44.53,,
T,49.173360000,16.513790000,284.1,1.5,8.694,31.15,,
T,49.173500000,16.513410000,283.6,-1.6,8.726,31.78,,
T,49.173620000,16.513090000,282.2,-5.1,8.753,26.88,,
T,49.173870000,16.512370000,283.9,2.8,8.812,59.41,,
T,49.174060000,16.511800000,283.7,-0.3,8.859,46.63,,
T,49.174280000,16.511070000,280.9,-4.8,8.917,58.58,,
T,49.174430000,16.510560000,280.9,0.1,8.958,40.76,,
T,49.174580000,16.510020000,281.0,0.2,9.001,42.76,,
T,49.174720000,16.509450000,281.0,-0.1,9.045,44.38,,
T,49.174840000,16.508970000,281.7,1.9,9.083,37.46,,
T,49.174990000,16.508310000,283.8,4.1,9.133,50.93,,
T,49.175060000,16.507940000,282.9,-3.0,9.162,28.08,,
T,49.175190000,16.507290000,278.9,-8.2,9.211,49.55,,
T,49.175310000,16.506630000,277.0,-3.7,9.261,49.94,,
T,49.175430000,16.505900000,276.2,-1.4,9.316,54.88,,
T,49.175610000,16.504600000,274.3,-2.0,9.413,96.88,,
T,49.175640000,16.504380000,273.3,-6.0,9.429,16.38,,
T,49.175690000,16.504000000,272.5,-2.9,9.457,28.26,,
T,49.175740000,16.503610000,272.7,0.6,9.486,28.98,,
T,49.175790000,16.503250000,273.0,1.2,9.513,26.83,,
T,49.175900000,16.502360000,273.7,1.1,9.579,66.04,,
T,49.176000000,16.501630000,273.6,-0.3,9.634,54.38,,
T,49.176160000,16.500530000,274.4,0.9,9.716,82.16,,
T,49.176290000,16.499690000,275.3,1.5,9.779,62.93,,
T,49.176380000,16.499150000,275.9,1.6,9.819,40.63,,
T,49.176520000,16.498390000,276.1,0.2,9.877,57.56,,
T,49.176540000,16.498250000,275.9,-1.2,9.887,10.45,,
T,49.176610000,16.497910000,275.8,-0.5,9.913,25.98,,
T,49.176720000,16.497330000,277.2,3.2,9.957,44.02,,
T,49.176790000,16.497020000,277.4,1.1,9.981,23.91,,
T,49.176850000,16.496740000,277.7,1.0,10.003,21.48,,
T,49.177000000,16.496100000,277.2,-0.9,10.052,49.56,,
T,49.177120000,16.495600000,277.6,1.1,10.091,38.82,,
T,49.177270000,16.495000000,277.3,-0.6,10.138,46.82,,
T,49.177300000,16.494870000,277.6,2.1,10.148,10.05,,
T,49.177370000,16.494630000,277.9,1.7,10.167,19.15,,
T,49.177490000,16.494200000,278.0,0.2,10.201,34.07,,
T,49.177640000,16.493690000,277.6,-0.8,10.242,40.76,,
T,49.177760000,16.493280000,278.1,1.4,10.275,32.74,,
T,49.177900000,16.492820000,280.3,5.9,10.312,36.98,,
T,49.178070000,16.492310000,283.7,8.1,10.353,41.71,,
T,49.178240000,16.491780000,285.3,3.7,10.396,43.02,,
T,49.178330000,16.491510000,286.0,3.3,10.419,22.08,,
T,49.178430000,16.491230000,285.6,-1.6,10.442,23.25,,
T,49.178670000,16.490530000,286.5,1.5,10.499,57.60,,
T,49.178910000,16.489830000,290.1,6.2,10.557,57.59,,
T,49.179020000,16.489510000,290.1,-0.0,10.583,26.34,,
T,49.179140000,16.489180000,290.8,2.7,10.611,27.51,,
T,49.179410000,16.488430000,292.8,3.1,10.673,62.38,,
T,49.179690000,16.487680000,296.3,5.6,10.736,62.93,,
T,49.179980000,16.486870000,297.7,2.1,10.803,67.29,,
T,49.180400000,16.485720000,298.7,1.1,10.899,95.98,,
T,49.180900000,16.484300000,302.0,2.8,11.017,117.52,,
T,49.181220000,16.483370000,307.3,6.9,11.093,76.58,,
T,49.181490000,16.482550000,310.8,5.2,11.160,66.90,,
T,49.181540000,16.482380000,312.1,9.0,11.174,13.58,,
T,49.181660000,16.482060000,314.5,9.0,11.201,26.88,,
T,49.181710000,16.481880000,315.5,7.2,11.215,14.25,,
T,49.182250000,16.480100000,319.7,2.9,11.358,142.99,,
T,49.182410000,16.479520000,322.0,5.0,11.404,45.88,,
T,49.182550000,16.479000000,324.1,5.2,11.445,40.98,,
T,49.182880000,16.477800000,324.4,0.3,11.540,94.87,,
T,49.183020000,16.477250000,327.7,7.7,11.583,43.01,,
T,49.183170000,16.476640000,331.7,8.5,11.630,47.50,,
T,49.183250000,16.476290000,333.6,6.9,11.657,27.02,,
T,49.183410000,16.475590000,338.9,9.9,11.711,54.05,,
T,49.183580000,16.474870000,342.5,6.6,11.767,55.79,,
T,49.183740000,16.474150000,346.4,6.9,11.823,55.42,,
T,49.183840000,16.473570000,347.7,3.0,11.866,43.72,,
T,49.183950000,16.473060000,349.6,5.0,11.905,39.14,,
T,49.184120000,16.472140000,347.8,-2.6,11.975,69.68,,
T,49.184300000,16.471160000,347.6,-0.3,12.049,74.20,,
T,49.184440000,16.470340000,344.4,-5.1,12.111,61.77,,
T,49.184490000,16.470080000,344.3,-0.6,12.131,19.75,,
T,49.184490000,16.470060000,344.3,-2.5,12.132,1.46,,
T,49.184540000,16.469780000,344.3,0.3,12.153,21.16,,
T,49.184750000,16.468640000,351.0,7.7,12.240,86.33,,
T,49.184950000,16.467510000,355.8,5.7,12.325,85.33,,
T,49.185320000,16.465450000,351.9,-2.5,12.481,155.71,,
T,49.185520000,16.464310000,356.1,4.9,12.567,86.03,,
T,49.185600000,16.463870000,358.9,8.5,12.600,33.29,,
T,49.185910000,16.462160000,365.4,5.0,12.730,129.34,,
T,49.186520000,16.458780000,377.6,4.7,12.985,255.57,,
T,49.186730000,16.457610000,379.6,2.3,13.074,88.43,,
T,49.186890000,16.456740000,382.8,4.9,13.139,65.87,,
T,49.187120000,16.455430000,386.7,3.9,13.238,98.86,,
T,49.187560000,16.452970000,384.4,-1.2,13.424,185.88,,
T,49.187590000,16.452760000,383.6,-4.9,13.440,15.67,,
T,49.187600000,16.452690000,383.7,1.4,13.445,5.22,,
T,49.187680000,16.452250000,383.1,-1.9,13.478,33.29,,
T,49.187910000,16.451090000,386.4,3.7,13.567,88.34,,
T,49.188210000,16.449620000,386.7,0.3,13.679,112.23,,
T,49.188330000,16.449090000,386.0,-1.7,13.720,40.87,,
T,49.188440000,16.448610000,385.8,-0.7,13.757,37.07,,
T,49.188700000,16.447580000,390.4,5.7,13.837,80.46,,
T,49.188700000,16.447550000,390.5,4.9,13.839,2.19,,
T,49.188750000,16.447380000,391.0,4.0,13.853,13.58,,
T,49.188770000,16.447300000,391.1,2.3,13.859,6.24,,
T,49.188960000,16.446550000,391.8,1.0,13.918,58.61,,
T,49.189210000,16.445630000,390.6,-1.6,13.990,72.60,,
T,49.189440000,16.444810000,389.3,-2.0,14.056,65.02,,
T,49.189640000,16.444110000,392.5,5.7,14.111,55.66,,
T,49.189940000,16.443100000,391.1,-1.7,14.192,80.83,,
T,49.190100000,16.442580000,389.2,-4.6,14.234,41.87,,
T,49.190240000,16.442150000,388.9,-0.8,14.269,35.00,,
T,49.190340000,16.441850000,387.8,-4.6,14.293,24.53,,
T,49.190410000,16.441630000,387.5,-1.8,14.311,17.83,,
T,49.190470000,16.441490000,386.9,-4.9,14.323,12.19,,
T,49.191230000,16.439330000,383.3,-2.0,14.502,178.70,,
T,49.191800000,16.437890000,382.2,-0.9,14.625,122.62,,
T,49.191850000,16.437740000,381.8,-2.8,14.637,12.27,,
T,49.192530000,16.436120000,379.6,-1.6,14.777,140.22,,
T,49.192810000,16.435480000,381.2,2.9,14.833,56.09,,
T,49.193360000,16.434310000,377.7,-3.4,14.938,104.95,,
T,49.193710000,16.433590000,377.4,-0.4,15.004,65.34,,
T,49.193830000,16.433350000,377.0,-1.9,15.026,22.00,,
T,49.194010000,16.433000000,374.2,-8.6,15.058,32.43,,
T,49.194210000,16.432610000,373.1,-3.3,15.094,36.09,,
T,49.194590000,16.431890000,373.0,-0.1,15.162,67.38,,
T,49.195120000,16.430930000,372.2,-0.9,15.253,91.49,,
T,49.195340000,16.430540000,370.8,-3.9,15.291,37.51,,
T,49.195570000,16.430140000,368.2,-6.6,15.329,38.78,,
T,49.195670000,16.429960000,367.4,-4.5,15.346,17.20,,
T,49.195780000,16.429790000,365.4,-11.7,15.364,17.41,,
T,49.195980000,16.429450000,363.9,-4.4,15.397,33.30,,
T,49.196190000,16.429110000,363.7,-0.7,15.431,34.05,,
T,49.197120000,16.427640000,368.3,3.1,15.580,148.92,,
T,49.197540000,16.427040000,365.1,-5.0,15.644,63.98,,
T,49.198670000,16.425540000,360.2,-3.0,15.811,166.57,,
T,49.199110000,16.425020000,359.7,-0.8,15.873,61.89,,
T,49.199460000,16.424620000,358.3,-2.9,15.921,48.63,,
T,49.199600000,16.424460000,357.6,-3.3,15.941,19.45,,
T,49.200020000,16.424000000,356.3,-2.3,15.998,57.49,,
T,49.200490000,16.423520000,352.8,-5.6,16.061,62.90,,
T,49.200690000,16.423310000,351.9,-3.5,16.088,27.00,,
T,49.200940000,16.423070000,351.0,-2.6,16.121,32.85,,
T,49.201180000,16.422840000,350.0,-3.4,16.152,31.52,,
T,49.201620000,16.422440000,347.0,-5.2,16.209,56.96,,
T,49.202330000,16.421840000,344.0,-3.3,16.300,90.26,,
T,49.202340000,16.421830000,343.9,-5.9,16.301,1.33,,
T,49.202500000,16.421700000,343.0,-4.5,16.321,20.16,,
T,49.202720000,16.421530000,342.2,-2.9,16.349,27.42,,
T,49.202820000,16.421450000,342.1,-0.7,16.361,12.56,,
T,49.202980000,16.421320000,342.4,1.2,16.381,20.16,,
T,49.203160000,16.421180000,341.6,-3.4,16.404,22.47,,
T,49.203990000,16.420610000,344.5,2.9,16.505,101.22,,
T,49.204120000,16.420520000,343.9,-3.8,16.521,15.88,,
T,49.204410000,16.420340000,341.4,-7.3,16.556,34.82,,
T,49.204460000,16.420310000,341.1,-4.4,16.562,5.97,,
T,49.204670000,16.420190000,340.9,-0.7,16.587,24.94,,
T,49.204840000,16.420090000,341.4,2.4,16.607,20.26,,
T,49.205020000,16.419980000,342.0,2.7,16.628,21.56,,
T,49.205210000,16.419860000,342.0,0.0,16.651,22.87,,
T,49.205350000,16.419780000,341.8,-1.2,16.668,16.63,,
T,49.205690000,16.419590000,340.5,-3.2,16.708,40.27,,
T,49.205860000,16.419500000,340.3,-1.1,16.728,20.01,,
T,49.205970000,16.419440000,340.5,1.4,16.741,12.99,,
T,49.206200000,16.419310000,341.2,2.5,16.768,27.28,,
T,49.207310000,16.418700000,339.6,-1.2,16.900,131.21,,
