type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.14052,11.62907,56.4,16.2,3.756,16.7,,
T,52.14067,11.62906,56.7,2.3,3.773,16.7,,
T,52.14077,11.62905,56.6,-1.7,3.784,11.15,,
T,52.1409,11.62903,56.4,-1.3,3.799,14.53,,
T,52.14091,11.62902,56.4,2.1,3.8,1.31,,
T,52.14095,11.62902,56.3,-1.5,3.804,4.45,,
T,52.14097,11.62902,56.3,-1.5,3.807,2.23,,
T,52.14102,11.62901,56.3,-0.4,3.812,5.61,,
T,52.14109,11.62899,56.3,0.4,3.82,7.91,,
T,52.14116,11.62897,56.2,-1.4,3.828,7.91,,
T,52.14125,11.62894,56,-1.5,3.838,10.22,,
T,52.14136,11.6289,56,-0.4,3.851,12.54,,
T,52.14146,11.62887,55.4,-5.2,3.862,11.31,,
T,52.14169,11.62878,54.3,-4,3.888,26.32,,
T,52.14197,11.62866,54.6,0.7,3.921,32.22,,
T,52.14219,11.62858,54.1,-1.8,3.946,25.08,,
T,52.14258,11.6284,54,-0.2,3.991,45.11,,
T,52.14291,11.62825,54,0,4.029,38.13,,
T,52.14321,11.62812,54,0,4.064,34.55,,
T,52.14332,11.62808,54,0,4.076,12.54,,
T,52.14343,11.62804,53.7,-2.6,4.089,12.54,,
T,52.14354,11.628,53.4,-2.1,4.101,12.54,,
T,52.14375,11.62794,54.3,3.7,4.125,23.72,,
T,52.14396,11.62789,54.3,0.2,4.149,23.62,,
T,52.14413,11.62785,53.2,-6,4.168,19.11,,
T,52.14434,11.62783,53.1,-0.4,4.191,23.41,,
T,52.14443,11.62782,53.1,0.3,4.201,10.04,,
T,52.14453,11.62782,53.2,0.1,4.212,11.13,,
T,52.14475,11.62781,53.1,-0.1,4.237,24.49,,
T,52.14579,11.62778,53,-0.1,4.352,115.74,,
T,52.14647,11.62777,53,-0.1,4.428,75.67,,
T,52.14656,11.62777,53,0,4.438,10.01,,
T,52.14697,11.62777,52.9,-0.2,4.484,45.62,,
T,52.14707,11.62776,52.5,-3.1,4.495,11.15,,
T,52.14717,11.62776,52.2,-2.8,4.506,11.13,,
T,52.14751,11.62776,52.1,-0.4,4.544,37.83,,
T,52.14775,11.62775,52,-0.2,4.571,26.71,,
T,52.14799,11.62775,51.9,-0.3,4.597,26.7,,
T,52.14825,11.62774,51.3,-2.3,4.626,28.94,,
T,52.14856,11.62774,51,-0.8,4.661,34.49,,
T,52.14869,11.62774,51,0,4.675,14.47,,
T,52.1489,11.62773,51,0,4.699,23.38,,
T,52.14902,11.62773,51,0,4.712,13.35,,
T,52.14926,11.62773,50.9,-0.2,4.739,26.7,,
T,52.14937,11.62772,50.8,-0.8,4.751,12.26,,
T,52.14977,11.62772,50,-1.9,4.795,44.51,,
T,52.15015,11.62771,50.5,1.3,4.838,42.29,,
T,52.15063,11.62771,51,0.9,4.891,53.41,,
T,52.15078,11.62771,51,0,4.908,16.69,,
T,52.15092,11.62771,51,0,4.923,15.58,,
T,52.15107,11.62771,51,0,4.94,16.69,,
T,52.15139,11.62772,52,2.8,4.976,35.61,,
T,52.1518,11.62773,52,0,5.021,45.63,,
T,52.15224,11.62775,52.9,1.8,5.07,48.98,,
T,52.15263,11.62777,53,0.2,5.114,43.42,,
T,52.15304,11.62779,53,0.1,5.159,45.64,,
T,52.15346,11.62781,52.9,-0.3,5.206,46.75,,
T,52.15354,11.62781,52.9,0,5.215,8.9,,
T,52.15373,11.62781,52.9,0,5.236,21.14,,
T,52.15398,11.62781,52.6,-1,5.264,27.82,,
T,52.15427,11.6278,52,-1.8,5.296,32.28,,
T,52.15441,11.6278,52,0,5.312,15.58,,
T,52.15457,11.62779,52,0,5.33,17.82,,
T,52.15475,11.62778,52,0,5.35,20.04,,
T,52.15519,11.62775,52,0,5.399,49,,
T,52.15531,11.62774,52,0,5.412,13.37,,
T,52.15547,11.62773,52,0,5.43,17.82,,
T,52.15572,11.6277,52,0,5.458,27.89,,
T,52.156,11.62766,52,0,5.489,31.28,,
T,52.15628,11.62763,52,0,5.52,31.22,,
T,52.15662,11.62758,52,0,5.558,37.99,,
T,52.15724,11.62749,51.1,-1.4,5.627,69.26,,
T,52.15756,11.62745,51.8,2.1,5.663,35.71,,
T,52.15776,11.62742,51.7,-0.5,5.686,22.35,,
T,52.15788,11.6274,51.4,-2.3,5.699,13.42,,
T,52.15794,11.62739,51.3,-2.3,5.706,6.71,,
