type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.17554,11.44134,515.2,2.3,5.47,17.59,,
T,48.17569,11.44111,515.5,1.5,5.494,23.89,,
T,48.17579,11.44094,515.1,-2.7,5.511,16.84,,
T,48.17589,11.44079,515.1,0.4,5.526,15.75,,
T,48.1759,11.44078,515.1,1.6,5.528,1.34,,
T,48.17612,11.44044,515,-0.5,5.563,35.18,,
T,48.17614,11.4404,515,-0.7,5.567,3.71,,
T,48.17623,11.44026,515,0.3,5.581,14.44,,
T,48.17634,11.4401,515,0,5.598,17.06,,
T,48.17639,11.44002,515,0,5.606,8.14,,
T,48.17646,11.43992,515.2,2,5.617,10.77,,
T,48.17651,11.43984,515.3,1.4,5.625,8.14,,
T,48.17734,11.43857,514.1,-1,5.757,132.05,,
T,48.17739,11.4385,513.6,-5.7,5.765,7.62,,
T,48.1775,11.43834,513,-3.7,5.782,17.06,,
T,48.1776,11.43819,513,0.1,5.798,15.75,,
T,48.17764,11.43813,513.2,3.5,5.804,6.3,,
T,48.17773,11.43799,513.8,4.1,5.818,14.44,,
T,48.17784,11.43783,514.2,2.1,5.836,17.06,,
T,48.17794,11.43768,514.4,1.2,5.851,15.75,,
T,48.17806,11.43749,514,-1.9,5.871,19.43,,
T,48.17828,11.43716,514.8,2.3,5.905,34.65,,
T,48.17851,11.43681,515.2,0.9,5.942,36.49,,
T,48.17862,11.43664,514.9,-1.4,5.959,17.59,,
T,48.17874,11.43646,514.6,-1.6,5.978,18.9,,
T,48.17885,11.4363,514.5,-0.4,5.995,17.06,,
T,48.17897,11.43612,514.3,-1.1,6.014,18.9,,
T,48.17909,11.43594,514.1,-1.1,6.033,18.9,,
T,48.17942,11.43544,513.6,-0.9,6.085,52.24,,
T,48.17953,11.43528,513.3,-1.8,6.103,17.06,,
T,48.17976,11.43493,513.3,0,6.139,36.49,,
T,48.17998,11.4346,512.7,-1.9,6.174,34.65,,
T,48.18021,11.43424,512.2,-1.3,6.211,37.02,,
T,48.18032,11.43407,512.3,0.7,6.228,17.59,,
T,48.18038,11.43399,512.4,1.2,6.237,8.94,,
T,48.18048,11.43384,512.3,-0.8,6.253,15.75,,
T,48.18076,11.4334,512,-0.6,6.298,45.17,,
T,48.18107,11.43294,514.2,4.6,6.347,48.56,,
T,48.1813,11.43259,514.1,-0.4,6.383,36.49,,
T,48.18249,11.4308,512,-1.1,6.571,187.69,,
T,48.18272,11.43044,511.2,-2.2,6.608,37.02,,
T,48.18283,11.43026,511,-1.1,6.626,18.13,,
T,48.1831,11.42985,511,0,6.669,42.79,,
T,48.18316,11.42977,511,0,6.678,8.94,,
T,48.18385,11.42873,511,0,6.787,108.94,,
T,48.18406,11.42841,510.4,-1.8,6.82,33.34,,
T,48.18435,11.42798,510.2,-0.4,6.865,45.41,,
T,48.18466,11.4275,510,-0.4,6.915,49.62,,
T,48.18476,11.42736,510.1,0.4,6.93,15.23,,
T,48.18496,11.42706,510,-0.2,6.962,31.5,,
T,48.18533,11.42649,510,0,7.021,59.07,,
T,48.18567,11.42598,509.8,-0.4,7.074,53.55,,
T,48.18578,11.42581,510,1.2,7.092,17.59,,
T,48.18601,11.42546,509.2,-2.1,7.128,36.49,,
T,48.18637,11.42492,509,-0.3,7.185,56.7,,
T,48.18647,11.42476,509,-0.5,7.201,16.28,,
T,48.18658,11.42459,509.3,2.1,7.219,17.59,,
T,48.18668,11.42443,510,3.8,7.235,16.28,,
T,48.1868,11.42425,509.5,-2.3,7.254,18.9,,
T,48.18692,11.42406,509.1,-2.4,7.274,19.43,,
T,48.18702,11.42392,509,-0.6,7.289,15.23,,
T,48.18744,11.42328,509,0,7.356,66.68,,
T,48.18755,11.42311,508.8,-0.8,7.373,17.59,,
T,48.18767,11.42293,508.4,-2.3,7.392,18.9,,
T,48.18813,11.42224,508.7,0.4,7.464,72.45,,
T,48.18837,11.4219,508,-1.9,7.501,36.76,,
T,48.18871,11.42139,507.6,-0.7,7.555,53.55,,
T,48.18881,11.42124,507.7,0.2,7.571,15.75,,
T,48.18895,11.42103,507.8,0.5,7.593,22.05,,
T,48.18926,11.42054,507,-1.6,7.643,50.16,,
T,48.18938,11.42037,507,0,7.661,18.38,,
T,48.18951,11.42016,507,0,7.682,21.28,,
T,48.18973,11.41984,507,0,7.717,34.12,,
T,48.18984,11.41967,507,0,7.734,17.59,,
T,48.19046,11.41877,506.2,-0.8,7.83,96.08,,
T,48.19056,11.4186,506,-1.2,7.847,16.83,,
T,48.19086,11.41813,506,0,7.895,48.31,,
T,48.191,11.41791,506,0,7.918,22.58,,
T,48.19111,11.41775,506,0,7.935,17.06,,
T,48.19122,11.41759,506,0,7.952,17.06,,
T,48.19133,11.41741,506,0,7.97,18.13,,
T,48.19155,11.41707,506.3,0.9,8.005,35.18,,
T,48.19178,11.41672,507,1.9,8.042,36.49,,
T,48.19191,11.41653,507.3,1.5,8.062,20.21,,
T,48.19191,11.41652,507.3,-4.3,8.063,0.74,,
T,48.19202,11.41635,507,-1.5,8.08,17.59,,
T,48.19224,11.41603,506.8,-0.6,8.115,34.12,,
T,48.19247,11.41567,506.7,-0.4,8.152,37.02,,
T,48.19271,11.41532,506.7,0,8.189,37.27,,
T,48.19293,11.41499,506,-2,8.223,34.65,,
T,48.19304,11.41483,505.4,-3.4,8.241,17.06,,
T,48.19314,11.41467,505,-2.4,8.257,16.28,,
T,48.19338,11.41431,504.8,-0.4,8.295,37.8,,
T,48.19349,11.41413,504.4,-2.2,8.313,18.13,,
T,48.1936,11.41397,504,-2.3,8.33,17.06,,
T,48.19371,11.4138,504,-0.2,8.347,17.59,,
T,48.19377,11.41372,504,0,8.356,8.94,,
T,48.19381,11.41367,504,0,8.362,5.8,,
T,48.19405,11.41331,504,0,8.4,37.8,,
T,48.19417,11.41313,504,0,8.419,18.9,,
T,48.19463,11.41245,504,0,8.491,71.92,,
T,48.1947,11.41234,504,0,8.502,11.29,,
T,48.19532,11.4114,504,0,8.6,98.17,,
T,48.19545,11.41122,503.4,-2.9,8.62,19.7,,
T,48.19589,11.41055,503,-0.6,8.69,69.82,,
T,48.19591,11.41052,503,0,8.693,3.15,,
T,48.19595,11.41047,503,0,8.699,5.8,,
T,48.19613,11.41018,503,0,8.728,29.42,,
T,48.19633,11.40988,503,0,8.76,31.5,,
T,48.19649,11.40963,503.2,0.9,8.785,25.73,,
