type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,50.86909,6.55455,109.3,0.4,4.78,19.84,,
T,50.86907,6.55421,109.9,2.6,4.804,24.04,,
T,50.86901,6.55337,110,0.2,4.864,59.51,,
T,50.869,6.55327,110.1,1.9,4.871,7.13,,
T,50.86899,6.55317,110.4,3.3,4.878,7.13,,
T,50.86898,6.55305,110.7,3.5,4.886,8.52,,
T,50.86894,6.55286,110.8,1,4.9,14.1,,
T,50.86876,6.55208,111,0.3,4.959,58.45,,
T,50.86874,6.552,111,0,4.965,6.06,,
T,50.86872,6.55192,111,0,4.971,6.06,,
T,50.86868,6.55176,111,0,4.983,12.11,,
T,50.86863,6.55161,111,-0.1,4.995,11.93,,
T,50.86855,6.55132,111,0.1,5.017,22.27,,
T,50.86849,6.55116,111,0,5.03,13.09,,
T,50.86845,6.55104,111.1,1.6,5.04,9.55,,
T,50.86841,6.55097,111.4,3.3,5.047,6.64,,
T,50.86838,6.55089,111.7,4.5,5.053,6.55,,
T,50.86823,6.55059,112,1.3,5.08,26.92,,
T,50.86767,6.54956,112.4,0.4,5.176,95.6,,
T,50.86735,6.54897,113.4,1.8,5.23,54.7,,
T,50.8673,6.54888,113.7,4.1,5.239,8.43,,
T,50.86723,6.54875,114,2.1,5.251,12.02,,
T,50.86718,6.54865,114,0.2,5.26,8.97,,
T,50.86715,6.54857,114,0,5.266,6.55,,
T,50.86715,6.54855,114,0,5.268,1.41,,
T,50.86711,6.54846,114,0,5.275,7.74,,
T,50.86708,6.54835,114,0,5.284,8.43,,
T,50.86704,6.5482,114,0,5.295,11.46,,
T,50.86688,6.54755,114.2,0.5,5.344,49.1,,
T,50.86687,6.5475,114.3,1,5.348,3.69,,
T,50.86687,6.5475,114.3,,5.348,0,,
T,50.86664,6.54654,115,1,5.42,72.26,,
T,50.86638,6.54562,115,0,5.491,70.93,,
T,50.86633,6.54543,115.2,1.2,5.506,14.49,,
T,50.86604,6.54438,114.9,-0.3,5.586,80.65,,
T,50.86603,6.54434,114.9,-1.7,5.589,3.03,,
T,50.86602,6.54429,114.8,-2,5.593,3.69,,
T,50.86602,6.54424,114.8,-1.7,5.597,3.52,,
T,50.86602,6.5442,114.7,-1.7,5.6,2.82,,
T,50.86602,6.54418,114.7,-1.6,5.601,1.41,,
T,50.86603,6.54411,114.6,-1.3,5.606,5.05,,
T,50.86603,6.54411,114.6,,5.606,0,,
T,50.86655,6.54347,113.5,-1.5,5.679,73.32,,
T,50.86662,6.54338,113.3,-2.2,5.689,10.04,,
T,50.86668,6.54329,113,-2.6,5.699,9.2,,
T,50.86672,6.54323,113.1,1.3,5.705,6.14,,
T,50.86676,6.54316,113.1,0.1,5.711,6.64,,
T,50.86677,6.54314,113.1,-0.7,5.713,1.79,,
T,50.86681,6.54296,113,-0.8,5.727,13.43,,
T,50.86682,6.54286,113,0,5.734,7.13,,
T,50.86683,6.54279,113,0,5.739,5.05,,
T,50.86684,6.54265,113.2,1.7,5.749,9.92,,
T,50.86684,6.54261,113.2,1.9,5.751,2.82,,
T,50.86684,6.54261,113.2,,5.751,0,,
T,50.86686,6.54253,113.3,0.7,5.758,6.06,,
T,50.86685,6.54247,113.3,0.7,5.762,4.37,,
T,50.86684,6.5424,113.2,-1.2,5.767,5.05,,
T,50.86683,6.54236,113.2,-1.2,5.77,3.03,,
T,50.86682,6.54234,113.2,-0.8,5.772,1.79,,
T,50.86681,6.54232,113.2,-1.1,5.774,1.79,,
T,50.86679,6.54226,113.1,-2,5.778,4.77,,
T,50.86677,6.54222,113,-1.9,5.782,3.59,,
T,50.86675,6.54219,113.1,3.5,5.785,3.07,,
T,50.86672,6.54214,113.3,3.7,5.79,4.85,,
T,50.86667,6.54208,113.5,3.1,5.797,6.98,,
T,50.86661,6.54203,113.8,3.2,5.804,7.55,,
T,50.86649,6.54185,114,1.3,5.823,18.41,,
T,50.86642,6.54175,114,0,5.833,10.5,,
T,50.86632,6.54159,114.2,1.3,5.849,15.83,,
T,50.86628,6.54153,114.3,1.5,5.855,6.14,,
T,50.8662,6.54139,114.3,0.2,5.869,13.28,,
T,50.86618,6.54135,114.4,0.9,5.872,3.59,,
T,50.8661,6.5412,114.7,2.5,5.886,13.81,,
T,50.86607,6.54113,114.9,4.2,5.892,5.95,,
T,50.86605,6.54108,115,1.4,5.896,4.16,,
T,50.86601,6.541,115,0,5.903,7.18,,
T,50.86585,6.54058,115,0,5.938,34.51,,
T,50.86544,6.53958,116.7,2,6.022,83.88,,
T,50.86544,6.53958,116.7,,6.022,0,,
T,50.8653,6.53919,117,0.9,6.053,31.57,,
T,50.86528,6.53915,117.1,1.7,6.057,3.59,,
T,50.86515,6.53878,118.2,3.8,6.087,29.79,,
T,50.86504,6.53848,118.9,2.8,6.111,24.41,,
T,50.8648,6.53773,119.7,1.5,6.17,59.17,,
T,50.86465,6.5373,119.9,0.6,6.205,34.57,,
T,50.86438,6.53647,120.2,0.5,6.27,65.7,,
T,50.86371,6.53443,121.6,0.9,6.432,161.81,,
T,50.8635,6.5338,122.1,1,6.482,50.13,,
T,50.86326,6.53307,123,1.5,6.54,57.92,,
T,50.86303,6.53239,123.5,1,6.595,54.28,,
T,50.86303,6.53237,123.5,-4.6,6.596,1.41,,
T,50.86296,6.53218,123.1,-2.8,6.611,15.48,,
T,50.86288,6.53199,123.5,3,6.627,16.07,,
T,50.86251,6.53114,124,0.6,6.7,72.63,,
T,50.86201,6.53002,124.8,0.8,6.797,96.5,,
T,50.8616,6.52908,125.8,1.2,6.877,80.38,,
T,50.86131,6.5284,126,0.4,6.935,57.73,,
T,50.86103,6.52776,126,0,6.989,54.78,,
T,50.86102,6.52773,126,0,6.992,2.39,,
T,50.86098,6.52765,126,0,6.999,7.18,,
T,50.86078,6.52718,126,-0.1,7.039,39.88,,
T,50.86076,6.52714,125.9,-1.4,7.043,3.59,,
T,50.86071,6.52702,125.7,-2.4,7.053,10.12,,
T,50.86064,6.52686,125.2,-3.4,7.066,13.69,,
T,50.86048,6.52652,125.4,0.6,7.096,29.83,,
T,50.86045,6.52645,125.5,1.7,7.102,5.95,,
T,50.86038,6.52629,125.4,-0.8,7.116,13.69,,
T,50.86028,6.52605,125.2,-0.7,7.136,20.23,,
T,50.86018,6.52582,126,3.9,7.156,19.65,,
T,50.86016,6.52577,126,0,7.16,4.16,,
T,50.8601,6.52563,126,0,7.172,11.9,,
T,50.86006,6.52554,126,0,7.18,7.74,,
T,50.85998,6.52534,126,0,7.196,16.66,,
T,50.85996,6.5253,126,0,7.2,3.59,,
T,50.8599,6.52516,126,0,7.212,11.9,,
T,50.85988,6.52511,126,0,7.216,4.16,,
T,50.85986,6.52506,126,0,7.22,4.16,,
T,50.85978,6.52487,126,0,7.236,16.07,,
T,50.85971,6.52471,126,0,7.25,13.69,,
T,50.85967,6.52463,126,0,7.257,7.18,,
T,50.85909,6.52326,126.1,0.1,7.373,116.05,,
T,50.85874,6.52249,127,1.4,7.44,66.75,,
T,50.85843,6.5218,127,0,7.499,59.58,,
T,50.85826,6.52141,127,0,7.533,33.34,,
T,50.8578,6.52036,127,0,7.623,89.91,,
T,50.85744,6.51956,127,0,7.692,69.12,,
T,50.85729,6.51923,127.6,2,7.72,28.61,,
T,50.85719,6.519,127.4,-0.8,7.74,19.65,,
T,50.85698,6.51853,127.9,1.1,7.78,40.51,,
T,50.8568,6.51816,127.5,-1.2,7.813,32.86,,
T,50.85668,6.51791,124.5,-13.7,7.835,22.09,,
T,50.85658,6.51771,119.7,-26.7,7.853,17.95,,
T,50.85655,6.51766,118.5,-24.3,7.858,4.85,,
T,50.8565,6.51758,116.9,-19.7,7.866,7.92,,
T,50.85643,6.51745,117.1,1.1,7.878,12.02,,
T,50.85642,6.51742,117.8,32.7,7.881,2.39,,
T,50.85628,6.51719,124.2,28.1,7.903,22.47,,
T,50.85611,6.51691,127,10.4,7.93,27.32,,
T,50.85596,6.51668,127,0,7.954,23.25,,
T,50.85585,6.5165,127,0,7.971,17.62,,
T,50.85571,6.51627,126.7,-1.1,7.994,22.47,,
T,50.8556,6.51609,126.9,1.1,8.011,17.62,,
T,50.85553,6.51597,126.4,-4.3,8.023,11.49,,
T,50.85543,6.51578,126,-2.6,8.04,17.4,,
T,50.85526,6.51546,126,0,8.07,29.42,,
T,50.85517,6.51526,126,0,8.087,17.28,,
T,50.85511,6.51513,126,0,8.098,11.33,,
T,50.85509,6.51505,126,0,8.104,6.06,,
T,50.85506,6.51498,125.9,-0.9,8.11,5.95,,
T,50.85498,6.51476,125.2,-4.2,8.128,17.87,,
T,50.85495,6.51468,125.2,-0.1,8.135,6.55,,
T,50.85488,6.5145,125.4,1.7,8.149,14.88,,
T,50.85484,6.51438,125.7,2.5,8.159,9.55,,
T,50.85482,6.51432,125.8,2.8,8.164,4.78,,
T,50.85474,6.51406,125.6,-0.8,8.184,20.36,,
T,50.85449,6.5133,125,-1,8.244,60.31,,
T,50.85438,6.51295,125.2,0.8,8.272,27.52,,
T,50.85435,6.51284,125.3,1.3,8.28,8.43,,
T,50.85429,6.51268,125.5,1.4,8.294,13.1,,
T,50.85418,6.51242,125.1,-2.1,8.316,22.02,,
T,50.85406,6.51212,125.4,1.3,8.341,24.99,,
T,50.85404,6.51207,125.5,1.7,8.345,4.16,,
T,50.85401,6.51196,125.6,1.3,8.353,8.43,,
T,50.85383,6.51159,125.4,-0.6,8.386,32.86,,
T,50.85371,6.51137,125.6,1.3,8.406,20.45,,
T,50.85362,6.51116,125.2,-2.4,8.424,17.86,,
T,50.85341,6.51071,125.7,1.3,8.464,39.37,,
T,50.85334,6.51057,126,2.4,8.476,12.56,,
T,50.85327,6.51031,125.5,-2.7,8.496,19.9,,
T,50.85318,6.51006,126.1,3.2,8.516,20.25,,
T,50.85311,6.5098,126.3,1,8.536,19.9,,
T,50.85304,6.50953,125.3,-4.9,8.557,20.55,,
T,50.85304,6.50952,125.3,-4.3,8.558,0.7,,
T,50.85297,6.50915,124.9,-1.4,8.585,27.19,,
T,50.85292,6.50888,125,0.4,8.605,19.81,,
T,50.8529,6.50861,125.6,3,8.624,19.14,,
T,50.8529,6.50861,125.6,,8.624,0,,
T,50.85287,6.50848,125.4,-2.1,8.633,9.74,,
T,50.85279,6.50853,125.7,3.4,8.643,9.57,,
T,50.85273,6.50857,125.7,0.7,8.65,7.24,,
T,50.85265,6.50864,125.6,-1.4,8.66,10.17,,
T,50.85241,6.5088,125.8,0.7,8.689,28.98,,
T,50.85235,6.50888,126,2.3,8.698,8.73,,
T,50.85222,6.50898,126.3,2.2,8.714,16.09,,
T,50.85214,6.50903,126.7,3.4,8.724,9.57,,
T,50.85205,6.50911,126.9,2.3,8.735,11.49,,
T,50.85187,6.50925,127.2,1.2,8.758,22.32,,
T,50.85184,6.50927,127.2,1.3,8.761,3.62,,
T,50.85181,6.5093,127.3,0.4,8.765,3.95,,
T,50.85168,6.50941,127.1,-0.8,8.782,16.41,,
T,50.85139,6.50972,127,-0.3,8.821,38.95,,
T,50.85131,6.5098,127.3,2.6,8.831,10.53,,
T,50.85125,6.50986,127.5,2.7,8.839,7.9,,
T,50.85119,6.50993,127.7,2.6,8.847,8.3,,
T,50.85108,6.51006,128,1.9,8.863,15.28,,
T,50.85097,6.51021,128,0,8.879,16.17,,
T,50.85086,6.51034,127.9,-0.8,8.894,15.28,,
T,50.8507,6.51055,128.5,2.6,8.917,23.14,,
T,50.85065,6.51063,128.3,-2.3,8.925,7.92,,
T,50.85033,6.51107,129,1.4,8.972,47.2,,
T,50.85012,6.51137,129,0.1,9.004,31.5,,
T,50.84994,6.51169,129.1,0.2,9.034,30.15,,
T,50.84987,6.51185,129.4,2.1,9.048,13.7,,
T,50.84981,6.51197,129.3,-0.3,9.058,10.77,,
T,50.84977,6.51208,129.2,-1.6,9.067,8.93,,
