type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.82181,9.17383,270.3,-2.3,6.951,25.51,,
T,48.82209,9.17363,270.8,1.5,6.985,34.43,,
T,48.82209,9.17363,270.8,,6.985,0,,
T,48.82219,9.17362,270.9,0.8,6.996,11.14,,
T,48.82221,9.17362,270.9,-0.2,6.999,2.22,,
T,48.82223,9.17361,271,5.7,7.001,2.34,,
T,48.82225,9.1736,271.1,2.9,7.003,2.34,,
T,48.82227,9.1736,271.1,-0.1,7.005,2.22,,
T,48.82231,9.1736,271.1,-0.1,7.01,4.45,,
T,48.82235,9.17361,271,-1.4,7.014,4.51,,
T,48.8224,9.17363,270.8,-3.3,7.02,5.75,,
T,48.82243,9.17366,270.6,-6.4,7.024,4,,
T,48.82249,9.17375,270,-6.3,7.034,9.39,,
T,48.82254,9.17384,269.5,-5.7,7.042,8.64,,
T,48.82255,9.17387,269.3,-6.8,7.045,2.47,,
T,48.82258,9.17392,269.1,-4.2,7.05,4.96,,
T,48.82262,9.17403,268.6,-5,7.059,9.22,,
T,48.82267,9.17414,268.4,-2.8,7.069,9.81,,
T,48.82273,9.17427,268.3,-0.6,7.08,11.65,,
T,48.82293,9.17488,269.3,2.1,7.13,50.01,,
T,48.82306,9.17528,270,2.1,7.163,32.74,,
T,48.82312,9.17543,270.3,2.5,7.176,12.88,,
T,48.82315,9.17556,270.7,3.5,7.186,10.11,,
T,48.82317,9.17563,270.8,2.5,7.192,5.6,,
T,48.82319,9.17572,271.1,4,7.199,6.97,,
T,48.8232,9.17577,271.3,5.1,7.202,3.84,,
T,48.82321,9.17585,271.7,7.2,7.208,5.98,,
T,48.82321,9.17594,272.6,13.1,7.215,6.61,,
T,48.82321,9.17603,273.4,13.1,7.222,6.61,,
T,48.8232,9.17608,273.8,9.1,7.225,3.84,,
T,48.82319,9.17615,274.6,14.8,7.231,5.26,,
T,48.82317,9.17621,275.3,15.6,7.236,4.94,,
T,48.82315,9.17626,276,16,7.24,4.29,,
T,48.82313,9.17631,276.8,17.8,7.244,4.29,,
T,48.82309,9.17637,277.7,15.2,7.251,6.26,,
T,48.82305,9.17642,278.5,12.8,7.256,5.77,,
T,48.823,9.17647,278.7,2.7,7.263,6.66,,
T,48.82294,9.17651,278.5,-2,7.27,7.29,,
T,48.82289,9.17652,278,-9.6,7.276,5.61,,
T,48.82285,9.17653,277.6,-8.8,7.28,4.51,,
T,48.82281,9.17654,277.2,-8.8,7.285,4.51,,
T,48.82276,9.17653,276.5,-12.7,7.29,5.61,,
T,48.8227,9.17651,276,-7.3,7.297,6.83,,
T,48.82265,9.17649,275.6,-6.3,7.303,5.75,,
T,48.82261,9.17646,275.3,-6.9,7.308,4.96,,
T,48.82256,9.17641,274.9,-5.1,7.315,6.66,,
T,48.82253,9.17636,274.7,-4.9,7.32,4.96,,
T,48.8225,9.17632,274.5,-4,7.324,4.44,,
T,48.82248,9.17627,274.1,-9.3,7.328,4.29,,
T,48.82247,9.17626,274,-6.7,7.33,1.33,,
T,48.82246,9.17622,273.7,-9.1,7.333,3.14,,
T,48.82244,9.17615,273.2,-8.5,7.338,5.6,,
T,48.82243,9.1761,272.9,-7.8,7.342,3.84,,
T,48.82242,9.17605,272.7,-6.1,7.346,3.84,,
T,48.82241,9.17598,272.4,-6.5,7.351,5.26,,
T,48.82241,9.17592,272.1,-6.5,7.356,4.41,,
T,48.82242,9.17584,271.7,-5.8,7.362,5.98,,
T,48.82242,9.17574,271.4,-5,7.369,7.34,,
T,48.82243,9.17568,271.2,-4,7.374,4.54,,
T,48.82245,9.17559,270.9,-3.6,7.381,6.97,,
T,48.82248,9.17547,270.6,-3.4,7.39,9.42,,
T,48.82256,9.17518,269.4,-5.4,7.413,23.08,,
T,48.82258,9.17512,269,-7,7.418,4.94,,
T,48.82259,9.17509,268.9,-6.5,7.421,2.47,,
T,48.82273,9.17469,268.5,-1,7.454,33.24,,
T,48.82281,9.17447,268.2,-1.9,7.472,18.44,,
T,48.82281,9.17446,268.2,-4.2,7.473,0.73,,
T,48.82289,9.17423,268.9,3.7,7.492,19.09,,
T,48.82298,9.174,269.6,3.7,7.512,19.63,,
T,48.82311,9.17371,271.3,6.6,7.537,25.74,,
T,48.82319,9.17353,272.7,9.1,7.553,15.93,,
T,48.82327,9.17337,273.9,8.1,7.568,14.74,,
T,48.82338,9.17318,274.9,5,7.587,18.56,,
T,48.82349,9.17298,275.9,5.2,7.606,19.11,,
T,48.82403,9.17222,279,3.8,7.688,81.98,,
T,48.82416,9.17208,279.1,0.4,7.705,17.74,,
T,48.82418,9.17206,279,-0.6,7.708,2.67,,
T,48.82421,9.17202,279,-0.3,7.713,4.44,,
T,48.82425,9.17198,278.9,-2.8,7.718,5.33,,
T,48.82446,9.17178,277.5,-5.1,7.745,27.59,,
T,48.82446,9.17178,277.5,,7.745,0,,
T,48.82476,9.1715,276.9,-1.4,7.785,39.19,,
T,48.82504,9.17126,277.2,0.9,7.82,35.78,,
T,48.82524,9.17109,278.3,4.1,7.846,25.5,,
T,48.82539,9.17097,279,3.9,7.865,18.87,,
T,48.82553,9.17086,279.8,4.5,7.882,17.54,,
T,48.82583,9.17062,281,3.2,7.92,37.73,,
T,48.82612,9.17039,280.3,-1.8,7.956,36.4,,
T,48.82646,9.17012,278.9,-3.4,7.999,42.69,,
T,48.82671,9.16992,279.1,0.8,8.031,31.44,,
T,48.82707,9.16965,278.8,-0.7,8.075,44.67,,
T,48.82748,9.16934,278.4,-0.8,8.126,50.96,,
T,48.82791,9.16901,280.5,3.8,8.18,53.61,,
