Gear No,Input Speed [rpm],Input Torque [Nm],Torque Loss [Nm]
5,3000,600,72
5,3000,900,84
5,3000,1200,96
5,3000,1600,112
5,3000,2000,128
5,3000,2500,148
5,3000,3000,168
5,3000,3500,188
5,3000,4000,208
5,3000,4500,228
5,3000,5000,248
5,3000,5500,268
6,0,-5500,239.2
6,0,-5000,219.2
6,0,-4500,179.2
6,0,-4000,179.2
6,0,-3500,159.2
6,0,-3000,139.2
6,0,-2500,119.2
6,0,-2000,99.2
6,0,-1600,83.2
6,0,-1200,67.2
6,0,-900,55.2
6,0,-600,43.2
6,0,-400,35.2
6,0,-200,27.2
6,0,0,27.2
6,0,200,27.2
6,0,400,35.2
6,0,600,43.2
6,0,900,55.2
6,0,1200,67.2
6,0,1600,83.2
6,0,2000,99.2
6,0,2500,119.2
6,0,3000,139.2
6,0,3500,159.2
6,0,4000,179.2
6,0,4500,199.2
6,0,5000,219.2
6,0,5500,239.2
6,600,-5500,239.2
6,600,-5000,219.2
6,600,-4500,179.2
6,600,-4000,179.2
6,600,-3500,159.2
6,600,-3000,139.2
6,600,-2500,119.2
6,600,-2000,99.2
6,600,-1600,83.2
6,600,-1200,67.2
6,600,-900,55.2
6,600,-600,43.2
6,600,-400,35.2
6,600,-200,27.2
6,600,0,27.2
6,600,200,27.2
6,600,400,35.2
6,600,600,43.2
6,600,900,55.2
6,600,1200,67.2
6,600,1600,83.2
6,600,2000,99.2
6,600,2500,119.2
6,600,3000,139.2
6,600,3500,159.2
6,600,4000,179.2
6,600,4500,199.2
6,600,5000,219.2
6,600,5500,239.2
6,900,-5500,242.8
6,900,-5000,222.8
6,900,-4500,182.8
6,900,-4000,182.8
6,900,-3500,162.8
6,900,-3000,142.8
6,900,-2500,122.8
6,900,-2000,102.8
6,900,-1600,86.8
6,900,-1200,70.8
6,900,-900,58.8
6,900,-600,46.8
6,900,-400,38.8
6,900,-200,30.8
6,900,0,30.8
6,900,200,30.8
6,900,400,38.8
6,900,600,46.8
6,900,900,58.8
6,900,1200,70.8
6,900,1600,86.8
6,900,2000,102.8
6,900,2500,122.8
6,900,3000,142.8
6,900,3500,162.8
6,900,4000,182.8
6,900,4500,202.8
6,900,5000,222.8
6,900,5500,242.8
6,1200,-5500,246.4
6,1200,-5000,226.4
